# Language file for plaintext-parser.php program
# Serbian text
# Version 1.01 - 13-Oct-2008
#
charset|WINDOWS-1250|
lang|Thunderstorms likely, some severe|Grmljavina, moguæa oluja|
lang|High risk of severe thunderstorms and possible tornados|Visok rizik od oluje i moguænost tornada|
lang|Thunderstorms likely, some possibly severe|Grmljavina, moguæa oluja|
lang|Some thunderstorms likely.|Grmljavina.|
lang|Some thunder possible.|Moguæa grmljavina. |
lang|Some thunderstorms likely|Grmljavina|
lang|Cloudy in the morning|Oblaèno ujutru|
lang|becoming|kasnije|
lang|dense overcast|oblaèno|
lang|UV index up to|UV indeks do|
lang|afternoon|popodne|
lang|cloudy|oblaèno|
lang|Patchy|Promenljivo|
lang| light |slab |
lang|fog|magla|
lang|Partly|Delimièno|
lang|gusting|gusting|
lang|mostly|pretežno|
lang|after|posle|
lang|midnight|ponoæ|
lang|morning|jutro|
lang|Mostly|Pretežno|
lang|partly|delimièno|
lang|Light |Slab |
lang|moderate|umeren|
lang|evening|veèe|
lang|Dense|Gusta|
lang|overcast|oblaèno|
lang|Moderate|Umereno|
lang|dense|gusta|
lang|sunny|sunèano|
lang|Rain likely|Kiša|
lang|rain likely|kiša|
lang|a chance of rain|moguæa kiša|
lang|rain|kiša|
lang|chance of|moguæa|
lang| slight | slight |
lang|High|Maksimum:|
lang|Low|Minimum:|
lang|but|ali|
lang|temperatures falling|pad temperature|
lang|temperatures rising|rast temperature|
lang|northeast|severoistok|
lang|northwest|severozapad|
lang|southeast|jugoistok|
lang|southwest|jugozapad|
lang|north-|sever-|
lang|east-|istok-|
lang|south-|jug-|
lang|west-|zapad-|
lang|north |sever |
lang|east |istok |
lang|south |jug |
lang|west |zapad |
lang|down |af |
lang|around|oko|
lang|kph|km/h|
lang|Chance of precipitation|Šansa za padavine|
lang|near|blizu|
lang|percent|procenat|
lang|less than|niže nego|
lang|snow|sneg|
lang|Precipitation (liquid equivalent)|Padavine (ukupno)|
lang|between|izmeðu|
lang|Precipitation|Padavine|
lang|accumulation expected|ukupno oèekivano|
lang|Little|Malo|
lang|Snow accumulation|Visina snega |
lang| snow | sneg |
lang|about|o nama|
lang|showery or intermittent|kišovito ili sa prekidima |
lang|No |Nema |
lang|Fair|Vedro|
lang| fair | vedro |
lang|Cloudy|Oblaèno|
lang|calm|tišina|
lang|Clear|Vedro|
lang|clear|vedro|
lang|Sunny|Sunèano|
lang|sunny|sunèano|
lang| ice | led |
lang|freezing|smrzavanje|
lang|sleet|susnežica|
lang|a mix of|Pomešana|
lang|if any|ako je bilo|
lang|on ground|na površini|
lang|patchy|promenljivo|
lang|of an inch|inèa|
lang|half an inch|polovina inèa|
lang| then | tada |
lang| the | |
lang| to | do |
lang| and | i |
lang| no | ne |
lang| one | 1 |
lang| or | ili |
lang|A | |
lang| a | |
lang| inch| inè|	
#
# Translation of headings, periods and short conditions statements
# headings
#
langlookup|Aerisweather Forecast for:|Aerisweather prognoza za:|
langlookup|Issued by:|Izdaje:|					
langlookup|Updated:|Ažurirano:|					
langlookup|High:|Maks:|
langlookup|Low:|Min:|
#
langlookup|Sunday|Nedelja|
